"Title","Author","Rating","Format","Price"
"Python Programming for Kids","Simon Weber",4.5,"Paperback","24.95€"
"Text Analytics with Python","Dipanjan Sarkar",4,"Paperback","29.47€"
"Python Scripting for Computational Science","Hans Petter Langtangen",4,"Hardback","50.59€"
"Fundamentals of Python","Kenneth Lambert",3.5,"Paperback","88.54€"
"Brand New Monty Python Papperbok, The","Monty Python",4.5,"Paperback","24.85€"
"Mastering Object-Oriented Python","Steven F. Lott",4,"Paperback","36.84€"
"Python Programming for Beginners","Jason Cannon",4,"Paperback","27.71€"
"Mastering Python for Finance","James Ma Weiming",3.5,"Paperback","38.92€"
"Python","Tom Tiffel",4,"Paperback","9.81€"
"Python","Nexcod Publishing",5,"Paperback","25.13€"
"A Primer on Scientific Programming with Python","Hans Petter Langtangen",4,"Hardback","75.56€"
"Python","Adam Stark",2,"Paperback","13.32€"
"Natural Language Processing in Action","Lane Hobson",4,"Paperback","39.77€"
"Modern Tkinter for Busy Python Developers","Mark Roseman",3.5,"Paperback","26.52€"
"Python for Microcontrollers: Getting Started with MicroPython","Donald Norris",3.5,"Paperback","20.07€"
"Python and R for the Modern Data Scientist","Rick Scavetta",3,"Paperback","40.21€"
"Building Machine Learning Systems with Python","Willi Richert",4,"Paperback","48.17€"
"Using Asyncio in Python","Caleb Hattingh",4,"Paperback","32.88€"
"Python One-liners","Christian Mayer",4,"Paperback","39.17€"
"Applying Math with Python","Sam Morley",4,"Paperback","32.02€"
"Python Data Analytics","Fabio Nelli",4.5,"Paperback","32.85€"
"Advanced Machine Learning with Python","John Hearty",3.5,"Paperback","41.17€"
"Foundations of Python Network Programming","Brandon Rhodes",3.5,"Paperback","106.66€"
"Monty Python Speaks","David Morgan",4,"Paperback","14.60€"
"Mathematics and Python Programming","J.C. Bautista",4.5,"Paperback","22.25€"
"Learning Python","Guido Van Rossum",5,"Paperback","16.96€"
"Pro Python","Marty Alchin",4,"Paperback","41.96€"
"Testing Python","David Sale",4,"Paperback","27.53€"
"Clean Code in Python","Mariano Anaya",4,"Paperback","44.95€"
"Python Programming for Absolute Beginners","Robert W James",5,"Paperback","12.22€"
"Data Science Essentials in Python","Dmitry Zinoviev",3,"Paperback","22.53€"
"Monty Python Speaks! Revised and Updated Edition","David Morgan",4,"Paperback","19.93€"
"Fundamentals of Python : First Programs","Kenneth Lambert",4,"Paperback","91.18€"
"Practices of the Python Pro","Dane Hillard",3.5,"Paperback","29.73€"
"Introduction to Computing Using Python","Ljubomir Perkovic",3.5,"Paperback","88.72€"
"Data Structures and Algorithms in Python","Michael T. Goodrich",4,"Hardback","133.77€"
"Rapid GUI Programming with Python and Qt","Mark Summerfield",4,"Paperback","46.25€"
"Natural Language Processing With Python And Spacy","Yuli Vasiliev",3.5,"Paperback","32.26€"
"Computer Coding Made Easy, Ages 7-11 (Key Stage 2)","Carol Vorderman",4.5,"Paperback","7.73€"
"Python Forensics","Chet Hosmer",4.5,"Paperback","52.89€"
"Matplotlib for Python Developers","Sandro Tosi",3,"Paperback","40.06€"
"Python for Tweens and Teens (Black & White Edition)","Loukia V Ainarozidou",5,"Paperback","30.24€"
"Mastering GUI Programming with Python","Alan D. Moore",4,"Paperback","40.64€"
"Python from the Very Beginning","John Whitington",5,"Paperback","21.89€"
"Mastering Geospatial Analysis with Python","Silas Toms",4.5,"Paperback","49.25€"
"Python Web Scraping Cookbook","Michael Heydt",4,"Paperback","40.64€"
"Practical Maya Programming with Python","Robert Galanakis",4.5,"Paperback","44.65€"
"Python Workout","Reuven Lerner",4,"Paperback","41.04€"
"Python Programming","Mike Cowley","","Paperback","14.41€"
"Expert Python Programming - Fourth Edition","Michal Jaworski","","Paperback","40.64€"
"The Greedy Python","Dr Richard Buckley",4,"Board book","17.36€"
"Python Programming","Nicholas Ayden","","Paperback","10.66€"
"Python for Kids","Scott Jason",5,"Paperback","20.60€"
"Mastering Python for Bioinformatics","Ken Youens-Clark",5,"Paperback","53.15€"
"Python Standard Library","Berajah Jayne","","","11.99€"
"Ciencia de Datos Python","Christopher Wilkinson","","Paperback","21.56€"
"Machine Learning with Spark and Python","Michael Bowles","","Paperback","35.71€"
"Python Programming For Kids","Craig Berg",5,"Paperback","12.17€"
"Python Machine Learning By Example","Yuxi (Hayden) Liu",3.5,"Paperback","49.26€"
"Python Programming Language","Berajah Jayne","","","13.01€"
"Advanced Python for Biologists","Martin O Jones",4,"Paperback","39.79€"
"Learning Robotics Using Python","Lentin Joseph",3.5,"Paperback","32.87€"
"Learning to Program Using Python","Cody Jackson",3.5,"Paperback","14.77€"
"An Introduction to Statistics with Python","Thomas Haslwanter",3.5,"Hardback","108.02€"
"Python Data Analysis","Avinash Navlani",3,"Paperback","34.82€"
"How To Promenade With A Python (and Not Get Eaten)","Rachel Poliquin",4.5,"Hardback","13.69€"
"Python Geospatial Development","Erik Westra",3.5,"Paperback","49.26€"
"Hands-On Blockchain for Python Developers","Arjuna Sky Kok",4,"Paperback","44.95€"
"Monty Python's the Meaning of Life","MONTY PYTHON",4,"Paperback","25.10€"
"Python","R M Z Trigo","","Paperback","16.50€"
"Python","Ash Publishing","","Paperback","24.44€"
"Python","Willard D Sanders","","Paperback","23.73€"
"Python","Josh Thompsons",5,"Paperback","19.07€"
"Python","Az Elite Publishing","","Paperback","12.02€"
"Python","Christopher Cheng","","Paperback","22.89€"
"Learn Quantum Computing with Python and IBM Quantum Experience","Robert Loredo",4,"Paperback","35.53€"
"Python","Timothy C Needham","","Paperback","19.48€"
"Python","Timothy C Needham",4,"Paperback","19.70€"
"Python","Sheela Preuitt","","Paperback","8.73€"
"Programming the Raspberry Pi, Third Edition: Getting Started with Python","Simon Monk",4,"Paperback","14.67€"
"Python, Hacking & Raspberry Pi 3","Cyberpunk University","","Paperback","30.50€"
"Python Coding (Intermediate Level) For Kids","Tommy Harry Johnson","","Paperback","23.39€"
"Programming ArcGIS 10.1 with Python Cookbook","Eric Pimpler",4,"Paperback","44.33€"
"Building Chatbots with Python","Sumit Raj",4,"Paperback","29.43€"
"Data Science at Scale with Python and Dask","Jesse Daniel",4,"Paperback","36.07€"
"Professional Python","Luke Sneeringer",4,"Paperback","44.59€"
"Powerful Python","Aaron Maxwell",4,"Paperback","31.69€"
"Web Scraping with Python","Richard Lawson",3.5,"Paperback","26.98€"
"Python for Linguists","Michael Hammond",3.5,"Paperback","36.31€"
"Python Programming","Aiden Phillips","","Paperback","22.35€"
"Python API Development Fundamentals","Jack Chan","","Paperback","36.33€"
"Mastering Python for Networking and Security","José Manuel Ortega",4.5,"Paperback","40.64€"
"Python and AWS Cookbook","Mitch Garnaat",3.5,"Paperback","19.55€"
"Python Programming Techniques","Lance Gifford",2,"Paperback","7.17€"
"Python for Rookies","Sarah Mount",4,"Paperback","73.38€"
"Geoprocessing with Python","Chris Garrad",4.5,"Paperback","42.43€"
"Hands-On Financial Trading with Python","Jiri Pik","","Paperback","43.01€"
"Coding Club Python: Interactive Adventures Supplement 2","Chris Roffey",3,"Spiral bound","17.04€"
"Introduction to Computing and Programming in Python, Global Edition","Mark Guzdial",3,"Paperback","70.32€"
"Practical Programming, 3e","Paul Gries",4.5,"Paperback","39.45€"
"Automate The Boring Stuff With Python","Al Sweigart",4.5,"Paperback",""
"Artificial Intelligence in Finance","Yves Hilpisch",3,"Paperback","45.39€"
"Hacking etico con herramientas Python","Jose Manuel Ortega Candel",4.5,"Paperback","36.29€"
"Machine Learning Pocket Reference","Matt Harrison",4.5,"Paperback","19.95€"
"Diaries 1969-1979: The Python Years","Michael Palin",4,"Paperback","25.12€"
"Programming Google App Engine with Python","Dan Sanderson",4,"Paperback","36.54€"
"A Beginners Guide to Python 3 Programming","John Hunt",4,"Paperback","49.26€"
"Monty Python's Flying Circus: 50 Years of Hidden Treasures","Adrian Besley",4.5,"Hardback","32.99€"
"A Student's Guide to Python for Physical Modeling","Jesse M. Kinder",3.5,"Paperback","27.67€"
"Python Text Processing with NLTK 2.0 Cookbook","Jacob Perkins",4,"Paperback","40.16€"
"PowerShell and Python Together","Chet Hosmer",3.5,"Paperback","28.52€"
"Introduction to Python in Earth Science Data Analysis","Maurizio Petrelli","","Hardback","85.75€"
"Python Automation Cookbook","Jaime Buelta",4,"Paperback","40.64€"
"Python for the Life Sciences","Alexander Lancaster",5,"Paperback","31.18€"
"Python Algorithmic Trading Cookbook","Pushpak Dagade","","Paperback","44.95€"
"Foundations for Analytics with Python","Clinton Brownley",2,"Paperback","44.95€"
"Financial Theory with Python","Yves Hilpisch","","Paperback","38.09€"
"Expert Python Programming","Tarek Ziade",3.5,"Paperback","44.76€"
"AI With Python For Beginners","Jim Smith",5,"Paperback","19.16€"
"Foundations of Python Network Programming","John Goerzen",4,"Paperback","44.52€"
"Neural Network Projects with Python","James Loy",4.5,"Paperback","40.64€"
"Learning Genetic Algorithms with Python","Ivan Gridin","","Paperback","31.98€"
"Hacking Con Python","Miles Price","","Paperback","18.55€"
"Python Data Science Essentials","Alberto Boschetti","","Paperback","40.64€"
"Data Visualization with Python","Mario Döbler",2.5,"Paperback","36.33€"
"I'm a Python Programmer","Max Wainewright",4,"Paperback","11.60€"
"Python Programming In Context","Bradley N. Miller",3.5,"Hardback","133.66€"
"Python Programming For Beginners In 2020","James Tudor","","Hardback","27.69€"
"Hands-On Reinforcement Learning with Python","Sudharsan Ravichandiran",4.5,"Paperback","29.48€"
"Interactive Data Visualization with Python","Abha Belorkar",4.5,"Paperback","44.95€"
"OpenCV Computer Vision with Python","Joseph Howse",3.5,"Paperback","29.79€"
"Python Programming","Kaitlin Felix","","Paperback","8.34€"
"Python and HDF5","Andrew Collete",3.5,"Paperback","23.59€"
"Python for Finance -","Yuxing Yan",3.5,"Paperback","49.26€"
"Monty Python","Richard Topping",3,"Paperback","12.00€"
"Python For Bioinformatics","Jason Kinser",4,"Paperback","109.59€"
"Advancing into Analytics","George Mount","","Paperback","41.08€"
"Deep Learning from Scratch","Seth Weidman",4,"Paperback","39.78€"
"Monty Python's Spamalot - Vocal Selections","Eric Idle",4,"Book","21.67€"
"Django for Beginners","William S Vincent",4.5,"Paperback","39.79€"
"Fairly Incomplete and Rather Badly Illustrated Monty Python Songbook, The","Graham Chapman",4,"Paperback","23.36€"
"Mathematical Modeling And Computation In Finance: With Exercises And Python And Matlab Computer Codes","Cornelis W Oosterlee",4,"Paperback","50.16€"
"Text Analysis in Python for Social Scientists","Dirk Hovy",3,"Paperback","21.56€"
"Behavioral Data Analysis with R and Python","Florent Buisson",5,"Paperback","39.76€"
"101 Python Challenges with Solutions / Code Listings","Philippe Kerampran","","Paperback","27.19€"
"Create Graphical User Interfaces with Python","Laura Sach","","Paperback","17.63€"
"Learning scikit-learn: Machine Learning in Python","Raul Garreta",3.5,"Paperback","29.73€"
"Python Artificial Intelligence Projects for Beginners","Dr. Joshua Eckroth",4.5,"Paperback","27.71€"
"Data Science Using Python and R","Chantal D. Larose","","Hardback","101.01€"
"Learn Python by Building Data Science Applications","Philipp Kats",2,"Paperback","36.33€"
"Foundations of Deep Reinforcement Learning","Laura Graesser","","Paperback","43.66€"
"Raspberry Pi Projects Made Easy, Ages 7-11 (Key Stage 2)","Carol Vorderman",4.5,"Paperback","9.55€"
"Python Programming on WIN32","Mark Hammond",3.5,"Paperback","47.67€"
"Python Deep Learning","Valentino Zocca",4,"Paperback","53.57€"
"Annotated Algorithms in Python","Massimo Di Pierro",4.5,"Paperback","44.96€"
"Mastering Python Regular Expressions","Felix Lopez",4,"Paperback","25.59€"
"Functional Python Programming","Steven Lott",3.5,"Paperback","35.63€"
"Deep Learning con Python","Francois Chollet",4.5,"Book","54.92€"
"Quick & Easy Python","Anthony Briggs",3,"Paperback","32.64€"
"Thoughtful Machine Learning with Python","Matthew Kirk",3,"Paperback","31.59€"
"Programming for Computations - Python","Svein Linge","","Hardback","47.27€"
"Coding for Kids Python","Casper Tommy Clifford","","Paperback","15.63€"
"Mastering Python Networking","Eric Chou",4,"Paperback","49.26€"
"Python Programming for Biology","Tim J. Stevens",3.5,"Paperback","59.61€"
"Python Testing: Beginner's Guide","Daniel Arbuckle",3.5,"Paperback","40.04€"
"Learning Python Network Programming","Dr. M. O. Faruque Sarker",4,"Paperback","49.26€"
"Selenium Webdriver Recipes in Python","Zhimin Zhan",5,"Paperback","22.50€"
"Beginning Ethical Hacking with Python","Sanjib Sinha",2.5,"Paperback","25.84€"
"Begin to Code with Python","Rob Miles",5,"Paperback","32.25€"
"Learn Python in One Hour","Victor R Volkman",4,"Paperback","8.69€"
"Learning Geospatial Analysis with Python -","Joel Lawhead",4,"Paperback","39.65€"
"Programming with Python for Social Scientists","Phillip Brooker",4,"Paperback","43.06€"
"How to Code 2.0: Pushing your skills further with Python","Elizabeth Tweedale",5,"Hardback","13.81€"
"Python Programming","Matthew Gimson","","Paperback","13.35€"
"CPython Internals","Anthony Shaw",4,"Paperback","36.22€"
"Python & XML","Christopher A. Jones & Fred L. Drake",3,"Paperback","24.16€"
"Python for Scientists","John M. Stewart",4,"Paperback","33.38€"
